,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,venue,team1,50s,100s,ducks,dr11Score
0,A Flintoff,24.0,25.0,2.0,1.0,96.0,Harbhajan Singh,0,caught and bowled,A Flintoff,2009-04-18,Mumbai Indians,Mumbai Indians,Newlands,Chennai Super Kings,0,0,0,32.0
1,A Flintoff,22.0,14.0,2.0,1.0,157.14285714285714,notOut,notOut,notOut,notOut,2009-04-20,Chennai Super Kings,Chennai Super Kings,St George's Park,Chennai Super Kings,0,0,0,30.0
2,A Flintoff,16.0,18.0,1.0,0.0,88.8888888888889,A Nehra,['DA Warner (sub)'],caught,A Flintoff,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Chennai Super Kings,0,0,0,21.0
3,A Mukund,0.0,1.0,0.0,0.0,0.0,Sohail Tanvir,0,bowled,A Mukund,2008-05-24,Rajasthan Royals,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
4,A Nehra,0.0,1.0,0.0,0.0,0.0,notOut,notOut,notOut,notOut,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,1,2.0
5,A Nehra,1.0,4.0,0.0,0.0,25.0,notOut,notOut,notOut,notOut,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,5.0
6,A Nehra,0.0,1.0,0.0,0.0,0.0,MA Starc,['KD Karthik'],run out,MM Sharma,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
7,A Nehra,0.0,1.0,0.0,0.0,0.0,SL Malinga,['LMP Simmons'],caught,A Nehra,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,1,2.0
8,AS Rajpoot,2.0,6.0,0.0,0.0,33.33333333333333,notOut,notOut,notOut,notOut,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,6.0
9,B Laughlin,0.0,1.0,0.0,0.0,0.0,KA Pollard,0,bowled,B Laughlin,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
