,bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,venue,team1,4 wicket,5 wicket,dr11Score
0,A Flintoff,4,44,0,1,11.0,2009-04-18,Mumbai Indians,Mumbai Indians,Newlands,Chennai Super Kings,0,0,29
1,A Flintoff,3,11,0,1,4.0,2009-04-20,Chennai Super Kings,Chennai Super Kings,St George's Park,Chennai Super Kings,0,0,29
2,A Flintoff,4,50,0,0,12.0,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Chennai Super Kings,0,0,4
3,A Nehra,3,24,0,1,8.0,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,0,0,29
4,A Nehra,4,33,0,3,8.0,2014-05-24,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,79
5,A Nehra,4,34,0,2,8.0,2014-05-28,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,0,54
6,A Nehra,4,51,0,2,13.0,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,54
7,A Nehra,4,25,0,4,6.0,2015-04-09,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,112
8,A Nehra,4,31,0,0,8.0,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
9,A Nehra,4,23,0,3,6.0,2015-04-17,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,79
10,A Nehra,4,32,0,0,8.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,0,0,4
11,A Nehra,4,10,0,4,2.0,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,1,0,112
12,A Nehra,4,16,0,2,4.0,2015-04-25,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
13,A Nehra,4,38,0,2,10.0,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
14,A Nehra,4,36,0,0,9.0,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,4
15,A Nehra,4,31,0,1,8.0,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,29
16,A Nehra,4,19,0,3,5.0,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
17,A Nehra,3,45,0,0,15.0,2015-05-08,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
18,A Nehra,4,29,0,0,7.0,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
19,A Nehra,3,17,0,1,6.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,29
20,A Nehra,4,28,0,1,7.0,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,29
21,A Nehra,4,28,0,3,7.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,79
22,A Nehra,4,41,0,1,10.0,2015-05-24,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,29
23,AS Rajpoot,3,25,0,1,8.0,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
24,AS Rajpoot,1,10,0,0,10.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,4
